,mean,se_mean,sd,n_eff,Rhat
"Rt_adj[148,49]",0.3121416767946715,0.01042959381017862,0.10164171381210506,94.97497083957322,1.0341986959506515
"Rt_adj[149,49]",0.31214167679365057,0.010429593810014666,0.10164171380989047,94.9749708384206,1.0341986959497957
"Rt_adj[150,49]",0.31214167679270965,0.010429593809862903,0.1016417138078436,94.97497083735938,1.034198695948997
"Rt_adj[151,49]",0.31214167679184235,0.010429593809722415,0.10164171380595156,94.97497083638214,1.0341986959482516
"Rt_adj[152,49]",0.3121416767910427,0.010429593809592349,0.1016417138042025,94.97497083548227,1.034198695947556
"Rt_adj[153,49]",0.31214167679030536,0.01042959380947193,0.10164171380258542,94.9749708346534,1.034198695946907
"Rt_adj[154,49]",0.3121416767896255,0.010429593809360429,0.10164171380109023,94.9749708338899,1.0341986959463014
"Rt_adj[155,49]",0.31214167678899846,0.010429593809257178,0.10164171379970761,94.9749708331865,1.0341986959457363
"Rt_adj[156,49]",0.31214167678842003,0.010429593809161562,0.10164171379842896,94.9749708325383,1.0341986959452094
"Rt_adj[157,49]",0.3121416767878864,0.010429593809073004,0.10164171379724635,94.9749708319411,1.0341986959447178
"Rt_adj[158,49]",0.312141676787394,0.010429593808990984,0.10164171379615247,94.97497083139065,1.0341986959442595
"Rt_adj[159,49]",0.31214167678693977,0.010429593808915005,0.10164171379514057,94.97497083088338,1.034198695943832
"Rt_adj[160,49]",0.31214167678652044,0.010429593808844622,0.1016417137942044,94.97497083041569,1.0341986959434337
"Rt_adj[161,49]",0.3121416767861334,0.010429593808779423,0.10164171379333826,94.9749708299845,1.034198695943062
"Rt_adj[162,49]",0.31214167678577626,0.010429593808719013,0.10164171379253681,94.97497082958694,1.0341986959427156
"Rt_adj[163,49]",0.3121416767854464,0.010429593808663038,0.10164171379179515,94.97497082922037,1.0341986959423928
"Rt_adj[164,49]",0.31214167678514193,0.010429593808611172,0.10164171379110878,94.97497082888228,1.034198695942092
"Rt_adj[165,49]",0.31214167678486066,0.010429593808563115,0.10164171379047353,94.97497082857035,1.0341986959418115
"Rt_adj[166,49]",0.312141676784601,0.010429593808518574,0.10164171378988551,94.97497082828265,1.0341986959415501
"Rt_adj[167,49]",0.3121416767843611,0.010429593808477293,0.10164171378934118,94.97497082801725,1.0341986959413065
"Rt_adj[168,49]",0.3121416767841395,0.010429593808439032,0.10164171378883727,94.97497082777235,1.0341986959410796
"Rt_adj[169,49]",0.3121416767839348,0.010429593808403567,0.10164171378837071,94.97497082754634,1.034198695940868
