FIPS,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013
55063,253.8,3
55065,26.6,8
55067,22.9,6
55069,32.7,6
55071,138.3,4
55073,86.8,3
55075,29.8,6
55077,33.8,8
55078,11.8,8
55079,3926,1
55081,49.6,6
55083,37.7,2
55085,32.3,7
55087,277.2,3
55089,370.7,1
55091,32.2,8
55093,71.5,1
55095,48.4,6
55097,87.4,4
55099,11.3,9
55101,587.7,3
55103,30.7,6
55105,223.3,3
55107,16.2,6
55109,116.8,1
55111,74.6,4
55113,13.2,7
55115,47,6
55117,225.9,3
55119,21.2,6
55121,39.3,6
55123,37.6,6
55125,25,9
55127,184.2,4
55129,20,7
55131,306.2,1
55133,709.4,1
55135,70.1,6
55137,39.1,6
55139,384.3,3
55141,94.2,4
56000,5.8,NA
56001,8.5,4
56003,3.7,9
56005,9.6,5
56007,2,7
56009,3.3,6
56011,2.5,9
56013,4.4,7
56015,6,7
56017,2.4,7
56019,2.1,7
56021,34.2,3
56023,4.4,7
56025,14.1,3
56027,0.9,9
56029,4.1,7
56031,4.2,7
56033,11.5,7
56035,2.1,9
56037,4.2,5
56039,5.3,7
56041,10.1,7
56043,3.8,7
56045,3,7
72000,1088.2,NA
72001,292.1,6
72003,1360,2
72005,1668.5,2
72007,952.6,1
72009,827.2,1
72011,744.8,2
72013,765.7,3
72015,1304.3,3
72017,1327.6,1
72019,885.1,1
72021,4695.3,1
72023,723.5,3
72025,2438.6,1
72027,758.5,3
72029,1449.8,1
72031,3900.3,1
72033,5808.6,1
72035,926.5,1
72037,469.5,1
72039,282.3,1
72041,1207.1,1
72043,519.3,4
72045,731.6,1
72047,872.4,1
72049,156.4,9
72051,1653,1
72053,1238.7,1
72054,833.7,1
72055,524.3,2
72057,698,3
72059,510.5,2
72061,3550.7,1
72063,1626.9,1
72065,1004.1,3
72067,1520.6,3
72069,1306.4,1
72071,825.1,2
72073,373.7,6
72075,841.9,2
72077,1521,1
72079,429.6,3
72081,500.5,2
72083,213.1,6
72085,1141.5,1
72087,1552.2,1
72089,777.5,1
72091,977.5,1
72093,171.4,6
72095,580.3,1
72097,1147.3,3
72099,796.7,2
72101,838.9,1
72103,517.2,1
72105,1109.5,1
72107,368.2,1
72109,412.8,3
72111,544.2,2
72113,1449.3,2
72115,1142.7,3
72117,1063.8,2
72119,895.8,1
72121,705.1,3
72123,448,4
72125,651.9,3
72127,8262.3,1
72129,773.1,1
72131,602.5,2
72133,684.1,4
72135,2741.5,1
72137,3855.7,1
72139,3604.4,1
72141,292,2
72143,1440.8,1
72145,1301.1,1
72147,183.2,7
72149,731.6,2
72151,687.2,1
72153,616.5,2
