SUPERCOUNTY,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,test,fatality_rate
16000_1,0.15324453353258852,0.1601125732106184,0.1352355044094157,0.13067172560056198,0.12152179651810523,0.11009892661712134,0.09796911843006009,0.063400731099468,0.027745090582060768,1.0000000000000002,0.007784880816021548
16000_2,0.16050858684588915,0.1611440511387197,0.12198760306099919,0.13306514586059637,0.11274644436187,0.11157783629793583,0.10499162587309024,0.06269016807492016,0.03128853848597939,1.0,0.008159178328513497
16000_4,0.12885394207330728,0.13408103594986598,0.12907467002770295,0.127631940934479,0.1154439191048042,0.12230887838209609,0.12434981222129096,0.07906539305570662,0.03919040825074696,1.0,0.009913403189998785
17000_0,0.11479827790989172,0.1251542641311097,0.11648842020647562,0.120891550061448,0.12120716352384363,0.13954752623456393,0.12843793235823803,0.08254515848948685,0.05092970708494253,0.9999999999999999,0.011158327208585717
17000_1,0.12092869238880062,0.14471968141191915,0.1735198347803607,0.12987808951720892,0.11810531880593372,0.11588467157949162,0.10358760155576018,0.0584760753945316,0.03490003456599346,0.9999999999999999,0.008279122498540386
17000_4,0.11752350114344129,0.12743508204322945,0.1351328921160514,0.12081682281402481,0.11472812970944998,0.1318692103405031,0.1261750571720642,0.07737000600701874,0.04894929865421703,1.0,0.010688468574597688
18000_0,0.12286750194144502,0.13304957733381478,0.12052441274379355,0.11610781079196118,0.12275423037161978,0.13932650406343208,0.12571215171465455,0.07729572783166559,0.042362083207613435,1.0,0.0102118333278099
18000_1,0.11776612061660002,0.12847234381310568,0.1329313246908479,0.12963961629419002,0.12165080343364873,0.13440909165190068,0.12628954427347794,0.06886440729405229,0.0399767479321768,1.0,0.009659879542149042
18000_3,0.08666117603817122,0.14615735415234452,0.26903625856776275,0.11861118863031508,0.09683698959276327,0.09896744420318955,0.09639456291647666,0.05584785967587141,0.03148716622310556,1.0000000000000002,0.007646259498220084
18000_4,0.11904504423316661,0.1337298547590081,0.17298096997551782,0.1216404572012196,0.11606362366511963,0.12237191907358178,0.11109809399360158,0.06659006593670677,0.03647997116207813,1.0,0.008921987655116478
19000_0,0.12237962584001162,0.13313705556949157,0.11056731315105026,0.11225591803863064,0.10960088721069934,0.13605481694678057,0.13411140303394373,0.08208811375308608,0.0598048664563062,1.0,0.011892617151948035
19000_1,0.1393098841203509,0.1347020264705101,0.12216516171151168,0.14581554146122985,0.12738031526248467,0.12465887050553588,0.10735093732326739,0.06154943957975124,0.03706782356535832,1.0,0.008716703961467075
19000_3,0.0915141939758422,0.16572040161051932,0.2966413536516997,0.10609041333265379,0.08569389939350697,0.08733499821619693,0.08709036236685185,0.04777534274501809,0.03213903470771112,1.0,0.007084277221344477
19000_4,0.12337660712140025,0.13338356630752593,0.144728541675011,0.12183457163455762,0.11148465975087116,0.12822175271358194,0.12075314415027837,0.07098745343853888,0.04522970320823487,1.0,0.009997931289427043
20000_0,0.13048648828209344,0.13708372780573688,0.16687594465759797,0.1251864401149368,0.10508246549404554,0.11610776155596525,0.1103858355340741,0.06607371235902802,0.042717624196522,1.0,0.009319250326706198
20000_1,0.14248637576980067,0.138938916330969,0.14160437844499785,0.1347528363125892,0.11351480801468827,0.12243213196081829,0.11079093548179834,0.05991351363980631,0.0355661040445321,0.9999999999999999,0.008557387012248664
20000_2,0.17320813061178172,0.16120796039660137,0.1471793926154981,0.12920750648945376,0.11302287975715967,0.1165973985446602,0.08591611228528065,0.043674378359976736,0.029986240939587794,1.0,0.006910614683896225
20000_3,0.10025033762640403,0.13974439210777692,0.2556573009651174,0.12978853058401132,0.10331367963371653,0.09762343950723015,0.09407424486972563,0.050643960604763005,0.028904114101254985,1.0,0.007184775720544155
20000_4,0.1253516495560995,0.13400435984557865,0.12295556123878071,0.12275461863529527,0.11185196010375945,0.1287280942116352,0.12713882089315942,0.07634601098486232,0.050868924530829474,0.9999999999999999,0.010788108074239158
21000_0,0.12314327222866098,0.1285816424805341,0.128650201596448,0.11797587372063792,0.12472078483864123,0.13773591681493935,0.1235265503338176,0.07768466071399421,0.0379810972723266,1.0,0.009842064236431008
21000_1,0.12708000459910476,0.13469429829952068,0.12673110699658635,0.13378042446565142,0.12976810203668976,0.13742799031016203,0.1145672678542401,0.0639850449800375,0.0319657604580074,0.9999999999999999,0.008633138529198368
21000_4,0.12863446903268433,0.13098689201203945,0.1483755719960521,0.12155599239785639,0.11884303857353769,0.12702920952388722,0.11580218113004395,0.07129211970929142,0.03748052562460745,1.0,0.009316542820134261
22000_0,0.12694278744748438,0.1291927704865411,0.14041534565389752,0.12736098861540984,0.11532732595287593,0.13046256289472163,0.11737479026654501,0.07317507845069124,0.03974835023183331,0.9999999999999999,0.009621431064549804
22000_4,0.14654004648443628,0.13908257404001084,0.13450542556073633,0.14943462947911768,0.12080249818197372,0.12997105417005317,0.10242260911722348,0.05107584377807246,0.026165319188376036,1.0,0.007351227698164863
23000_0,0.094407271146944,0.10694295626372144,0.10276938985006631,0.10733258903483467,0.11567972186214492,0.150353292022269,0.1636457638675548,0.10439535737567343,0.05447365857679137,1.0,0.013087573286177778
23000_1,0.09542939588076454,0.11950018531264892,0.13801159527717477,0.12138640334621698,0.11747498279239689,0.14795891353841267,0.13630407158362895,0.07781145761634987,0.04612299465240642,1.0,0.010783020191798593
23000_4,0.10444940377209622,0.11480741574940767,0.11602991804876706,0.11979375721058463,0.1194359516595526,0.15259948026450088,0.14193641611868135,0.08374714156943606,0.04720051560697354,1.0,0.011252269423910128
24000_0,0.09546342968830368,0.11055104070225971,0.11422007338065357,0.10571614717278743,0.11977505743579193,0.1503617597640846,0.14926447896306966,0.10235572471967905,0.052292288173370366,1.0,0.012561656942015567
24000_1,0.11541945487187857,0.13333197323322998,0.11654561775746694,0.1189325934388771,0.12363309939611555,0.16222457972906806,0.12276399543006365,0.0734005222784397,0.03374816386486046,1.0,0.009455046316304882
24000_4,0.10832298515775961,0.1242181643385656,0.1344423525551887,0.11481801517223751,0.11484853513706325,0.1369507121643042,0.1280369749373864,0.08821986582660463,0.0501423947108901,1.0,0.011306619794295437
25000_4,0.08623009465919523,0.11100294424921645,0.12085668154620571,0.10748092569728053,0.10865229366511539,0.15261816570107956,0.15312470320068383,0.09897267863361509,0.061061512647608195,0.9999999999999999,0.013174305307563238
26000_0,0.10938510504302543,0.12312231532394033,0.12181827937858133,0.11112193689228536,0.11379778758687689,0.14239479458786253,0.1431333011384015,0.08835178893680473,0.046874691112221936,1.0,0.011372365515203634
