FIPS,County,State,Not_enough_data,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
19139,Muscatine County,Iowa,False,6.317,4.487,0.856,0.848,1.294,-0.29,11.318,7.226,4.725,2.893,1.521,2.636,3.326,9.802,5.407,4.248,3.119,1.297,0.175,-14.751,9.044,-6.414,-13.656,-17.248,-21.803,-23.097,-25.597,-15.962,-29.147,-26.547,-29.241,-30.774,-31.376,-29.213,-20.508000000000006,-28.238000000000003,-29.651,-33.994,-34.811,-34.733000000000004,-38.613,-25.055,-27.328000000000007
19141,O'Brien County,Iowa,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19143,Osceola County,Iowa,True,,7.254,1.707,1.737,4.982,5.339,,,9.073,-1.74,1.737,-0.017,-3.588,,,3.619,1.707,3.492,-1.683,-7.158,,,-0.017,-5.188,-10.542,-18.347,-21.442,,,-14.56,-22.427,-24.574,-26.679,-25.013,,,-18.196,-22.427,-21.066,-25.013,-26.798,,
19145,Page County,Iowa,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19147,Palo Alto County,Iowa,True,,-2.486,1.144,1.116,-1.238,-3.752,,,4.832,4.716,2.279,4.716,-1.281,,,4.832,8.289,4.606,2.334,-6.221,,,-8.585,-15.527,-18.656,-20.29,-23.509,,,-22.004,-23.862,-29.124,-28.625,-29.684,,,-25.663,-28.625,-29.124,-27.435,-28.449,,
19149,Plymouth County,Iowa,False,4.299,2.802,1.922,3.0780000000000003,0.774,2.046,0.013,5.727,4.794,3.448,0.78,1.154,-0.799,4.507,-4.271,2.403,1.159,1.929,1.534,3.265,0.013,-11.413,-14.327,-15.633,-23.354,-25.458,-29.25,-11.220999999999998,-19.983,-27.87,-27.844,-27.568,-30.019,-30.063,-24.701,-29.982,-29.065,-32.042,-30.632,-31.54,-34.534,-19.084,-22.84
19151,Pocahontas County,Iowa,True,,6.516,4.797,11.432,4.876,-3.549,,,4.876,3.185,-0.041,4.876,-1.795,,,6.516,-1.654,6.516,6.516,-3.549,,,-16.432000000000002,-17.78,-11.514,-18.071,-26.352,,,-21.349,-24.23,-24.627,-24.627,-26.352,,,-26.266,-29.069000000000006,-27.905,-27.905,-28.107,,
19153,Polk County,Iowa,False,3.2910000000000004,3.62,-2.469,2.205,2.016,3.2110000000000003,5.9510000000000005,3.134,4.12,2.049,2.99,2.256,5.207999999999998,6.794,3.999,2.4930000000000003,2.049,2.608,0.07,-4.949,0.767,-5.198,-21.621,-31.099,-36.48,-39.702,-39.05,-21.394,-30.744,-42.773,-45.953,-46.226000000000006,-46.923,-44.762,-28.521,-33.574,-46.69600000000001,-48.852,-48.341,-49.19,-48.284,-30.076,-35.30300000000001
19155,Pottawattamie County,Iowa,False,0.94,4.3,2.407,2.801,2.499,4.9460000000000015,2.9960000000000004,3.455,4.7010000000000005,3.179,2.027,2.403,4.9460000000000015,2.9960000000000004,1.569,0.397,0.5760000000000001,1.157,-0.965,0.098,-3.752,-6.606,-6.108,-23.625,-27.561,-29.738000000000003,-31.311,-19.75,-27.043000000000006,-31.729,-35.001999999999995,-35.684,-36.185,-36.866,-26.249,-30.187,-36.033,-38.376,-38.488,-40.516,-42.42,-28.249,-32.388000000000005
19157,Poweshiek County,Iowa,False,6.381,3.164,2.438,1.795,0.609,9.857,11.318,,-0.633,1.828,-2.395,1.828,8.449,15.091,8.508,0.632,2.438,-2.395,-0.61,14.082,9.432,4.254,-12.656,-22.558000000000003,-29.337,-31.093000000000004,-26.053,-16.979,-29.783,-35.438,-35.97,-40.114,-40.847,-35.206,-20.752,-27.655,-39.234,-40.238,-40.712,-41.457,-33.094,-13.206,-27.655
