FIPS,County,State,Not_enough_data,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
01097,Mobile County,Alabama,False,160.47,31.054,138.741,8.522,3.24,17.111,-0.253,17.529,21.797,24.292,-22.723000000000006,5.24,30.524,63.854,33.875,41.238,15.358,40.659,40.834,42.717,22.684,32.355,19.945,11.103,16.109,1.241,2.886,-25.837,-9.463,1.429,-2.086,-0.406,-5.158,-8.494,-32.895,-21.248,-6.44,-19.956,-2.637,-13.157,-13.372,-45.54,-29.612
01099,Monroe County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01101,Montgomery County,Alabama,False,0.0,-24.996,12.939,20.728,16.302,41.66,87.485,51.604,-17.042,16.468,-15.851,6.521,19.788,40.618,38.703,29.54,18.82,34.141,39.124,17.705,24.995,17.202,-7.9529999999999985,4.705,9.754,-3.26,8.332,-5.207999999999998,-37.628,-9.09,12.939,23.167,5.434,-11.457,-7.291,-8.601,2.272,-24.702,12.193,0.0,-3.125,-16.664,-16.125999999999998
01103,Morgan County,Alabama,False,-13.709,-14.518,23.929,4.392,33.79,49.992,112.169,42.095,-0.021,35.199,17.63,15.476,53.651,117.576,53.677,69.562,32.382,23.514,61.967,12.177,59.453,-10.55,15.925,25.337,49.992,39.425,6.0779999999999985,12.144,-0.021,10.126,-2.838,32.34,69.01,48.772,51.343,17.878,17.375,-8.474,32.34,46.47,29.255,33.771,-1.074
01105,Perry County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01107,Pickens County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01109,Pike County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01111,Randolph County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01113,Russell County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01115,St. Clair County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01117,Shelby County,Alabama,False,-13.977,-35.378,35.449,-0.003,21.594,31.039,130.202,46.332,-35.378,22.788,-31.261,-17.053,36.788,108.645,69.868,74.406,30.385,13.751,102.296,31.039,109.508,14.706,68.307,81.03,102.523,94.339,63.231,53.459,-0.003,-13.421,65.837,128.78,111.389,110.37,79.327,44.12600000000001,74.406,2.529,77.516,76.153,93.124,53.459,8.087
01119,Sumter County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01121,Talladega County,Alabama,True,-11.625,-28.223000000000006,,,,-1.71,23.931,18.382,-23.875,,,-4.502,3.554,32.888000000000005,26.718000000000004,8.742,,,,-3.465,49.31,6.7120000000000015,,,,,19.347,52.29600000000001,6.7120000000000015,-19.526,,,,28.121,35.874,16.715,,,,,15.838,7.508999999999999,0.044
01123,Tallapoosa County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01125,Tuscaloosa County,Alabama,False,-2.957,-21.801,15.958,4.807,14.002,36.512,67.334,21.049,-9.153,103.48,-13.054,12.838,28.176,55.51300000000001,44.055,19.59,20.504,7.189,47.731,5.254,31.87,-6.957999999999998,20.74,23.914,27.433000000000003,22.143,-9.333,-1.774,-12.959,-24.099,12.547,50.057,50.057,29.219,3.682,-0.956,-25.249,-42.012,-7.1,-3.445,-7.249,-21.779,-12.959
01127,Walker County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01129,Washington County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01131,Wilcox County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01133,Winston County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02122,Kenai Peninsula Borough,Alaska,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04001,Apache County,Arizona,False,-16.901,1.695,-0.0,4.839,20.0,4.2860000000000005,6.172999999999999,2.817,22.034,17.241,33.871,26.154,30.0,16.05,53.521,54.238,50.0,38.71,49.231,28.572,44.445,74.648,62.712,,20.968000000000004,1.538,15.714,8.642000000000001,5.634,-22.033,6.897,-30.645,-33.846,-42.857,-29.629,-35.211,-30.508000000000006,-17.241,-22.58,-32.308,-24.285,-23.456,-22.535
