FIPS,Rural-urban_Continuum Code_2013,Density per square mile of land area - Population
55063,3,253.8
55065,8,26.6
55067,6,22.9
55069,6,32.7
55071,4,138.3
55073,3,86.8
55075,6,29.8
55077,8,33.8
55078,8,11.8
55079,1,3926
55081,6,49.6
55083,2,37.7
55085,7,32.3
55087,3,277.2
55089,1,370.7
55091,8,32.2
55093,1,71.5
55095,6,48.4
55097,4,87.4
55099,9,11.3
55101,3,587.7
55103,6,30.7
55105,3,223.3
55107,6,16.2
55109,1,116.8
55111,4,74.6
55113,7,13.2
55115,6,47
55117,3,225.9
55119,6,21.2
55121,6,39.3
55123,6,37.6
55125,9,25
55127,4,184.2
55129,7,20
55131,1,306.2
55133,1,709.4
55135,6,70.1
55137,6,39.1
55139,3,384.3
55141,4,94.2
56000,NA,5.8
56001,4,8.5
56003,9,3.7
56005,5,9.6
56007,7,2
56009,6,3.3
56011,9,2.5
56013,7,4.4
56015,7,6
56017,7,2.4
56019,7,2.1
56021,3,34.2
56023,7,4.4
56025,3,14.1
56027,9,0.9
56029,7,4.1
56031,7,4.2
56033,7,11.5
56035,9,2.1
56037,5,4.2
56039,7,5.3
56041,7,10.1
56043,7,3.8
56045,7,3
72000,NA,1088.2
72001,6,292.1
72003,2,1360
72005,2,1668.5
72007,1,952.6
72009,1,827.2
72011,2,744.8
72013,3,765.7
72015,3,1304.3
72017,1,1327.6
72019,1,885.1
72021,1,4695.3
72023,3,723.5
72025,1,2438.6
72027,3,758.5
72029,1,1449.8
72031,1,3900.3
72033,1,5808.6
72035,1,926.5
72037,1,469.5
72039,1,282.3
72041,1,1207.1
72043,4,519.3
72045,1,731.6
72047,1,872.4
72049,9,156.4
72051,1,1653
72053,1,1238.7
72054,1,833.7
72055,2,524.3
72057,3,698
72059,2,510.5
72061,1,3550.7
72063,1,1626.9
72065,3,1004.1
72067,3,1520.6
72069,1,1306.4
72071,2,825.1
72073,6,373.7
72075,2,841.9
72077,1,1521
72079,3,429.6
72081,2,500.5
72083,6,213.1
72085,1,1141.5
72087,1,1552.2
72089,1,777.5
72091,1,977.5
72093,6,171.4
72095,1,580.3
72097,3,1147.3
72099,2,796.7
72101,1,838.9
72103,1,517.2
72105,1,1109.5
72107,1,368.2
72109,3,412.8
72111,2,544.2
72113,2,1449.3
72115,3,1142.7
72117,2,1063.8
72119,1,895.8
72121,3,705.1
72123,4,448
72125,3,651.9
72127,1,8262.3
72129,1,773.1
72131,2,602.5
72133,4,684.1
72135,1,2741.5
72137,1,3855.7
72139,1,3604.4
72141,2,292
72143,1,1440.8
72145,1,1301.1
72147,7,183.2
72149,2,731.6
72151,1,687.2
72153,2,616.5
