FIPS,Rural-urban_Continuum Code_2013,Density per square mile of land area - Population
16077,6,5.6
16079,6,4.9
16081,9,22.6
16083,5,40.2
16085,8,2.7
16087,6,7
17000,NA,231.1
17001,5,78.5
17003,3,35
17005,1,46.7
17007,2,193
17009,7,22.7
17011,7,40.2
17013,1,20
17015,7,34.6
17017,6,36.3
17019,3,201.8
17021,6,49.1
17023,6,32.6
17025,7,29.5
17027,1,79.7
17029,5,106
17031,1,5495.1
17033,7,44.7
17035,9,31.9
17037,1,166.6
17039,3,41.7
17041,6,48
17043,1,2799.8
17045,6,29.8
17047,9,30.2
17049,7,71.5
17051,6,30.9
17053,3,29
17055,4,96.8
17057,6,42.8
17059,8,17.3
17061,6,25.6
17063,1,119.8
17065,7,19.5
17067,7,24.1
17069,9,24.3
17071,9,19.3
17073,2,61.3
17075,6,26.6
17077,3,103.1
17079,7,19.6
17081,7,68
17083,1,62.2
17085,6,37.7
17087,8,36.6
17089,1,990.8
17091,3,167.7
17093,1,358.2
17095,4,73.9
17097,1,1585.6
17099,4,100.4
17101,7,45.2
17103,6,49.7
17105,4,37.3
17107,6,49
17109,5,55.3
17111,1,511.9
17113,3,143.3
17115,3,190.8
17117,1,55.4
17119,1,376.3
17121,4,68.9
17123,2,32.7
17125,6,27.2
17127,7,65
17129,3,40.4
17131,2,29.3
17133,1,85.6
17135,6,42.8
17137,4,62.5
17139,6,44.2
17141,4,70.5
17143,2,301.2
17145,6,50.6
17147,3,38.1
17149,7,19.8
17151,8,12.1
17153,8,30.9
17155,8,37.5
17157,6,58.2
17159,7,45.1
17161,2,345
17163,1,410.6
17165,6,65.6
17167,3,227.4
17169,7,17.3
17171,9,21.3
17173,6,29.5
17175,2,20.8
17177,4,84.5
17179,2,208.6
17181,6,43.1
17183,3,90.9
17185,7,53.5
17187,6,32.6
17189,6,26.2
17191,7,23.5
17193,6,29.6
17195,4,85.5
17197,1,809.6
17199,3,157.9
17201,2,575.2
17203,2,73.3
18000,NA,181
18001,6,101.4
18003,2,540.6
18005,3,188.7
18007,3,21.8
18009,6,77.3
18011,1,133.9
18013,1,48.9
18015,3,54.1
18017,4,94.5
18019,1,295.6
18021,3,75.2
18023,6,82
18025,8,35.1
18027,7,73.7
18029,1,164.1
18031,6,69.1
18033,4,116.4
18035,3,300.1
18037,5,98
18039,3,426.5
18041,6,112.9
18043,1,504.1
18045,6,43.6
18047,6,60.1
18049,7,56.6
18051,6,68.7
18053,4,169.2
18055,6,61.1
18057,1,696.4
18059,1,228.8
18061,1,81.2
18063,1,357.4
18065,4,126.2
18067,3,282.4
18069,6,97
18071,4,83.2
18073,1,59.8
18075,6,55.4
18077,6,89.9
18079,6,75.7
18081,1,435.8
18083,5,74.5
18085,4,145.6
18087,6,97.8
18089,1,994.1
18091,3,186.3
18093,6,102.7
18095,1,291.3
18097,1,2279.6
18099,6,106.1
18101,7,30.8
18103,6,98.7
18105,3,349.7
18107,6,75.6
18109,1,170.5
18111,1,35.5
18113,6,115.7
18115,1,71.1
18117,6,49.8
18119,3,56
18121,6,39
18123,6,50.7
18125,8,38.4
18127,1,393
18129,2,63.3
18131,6,30.9
18133,1,79
18135,6,57.9
18137,6,64.6
18139,6,42.6
18141,2,583
18143,1,127
18145,1,108.1
18147,8,52.8
18149,6,75.6
18151,7,110.7
18153,3,48
18155,8,48.1
18157,3,345.7
18159,6,61.2
18161,1,46.6
18163,2,769.7
18165,3,63.1
18167,3,267.4
18169,6,79.7
18171,8,23.3
18173,2,155.1
18175,1,55
18177,5,171.5
18179,2,75.1
18181,6,48.8
18183,2,99.2
19000,NA,54.5
19001,8,13.5
19003,9,9.5
19005,6,22.4
19007,7,25.9
19009,8,13.8
19011,2,36.4
19013,3,231.7
19015,6,46
19017,3,55.7
19019,6,36.7
19021,7,35.2
19023,8,25.6
19025,9,17
19027,7,36.6
19029,6,24.7
19031,6,31.9
19033,5,77.7
19035,6,20.9
19037,6,24.7
19039,6,21.5
19041,7,29.4
19043,8,23.3
19045,4,70.7
19047,7,23.9
19049,2,112.4
19051,9,17.4
19053,9,15.9
19055,6,30.7
19057,5,96.9
19059,7,43.8
19061,3,154
19063,7,26
19065,6,28.6
19067,7,32.6
19069,7,18.4
19071,8,14.6
19073,6,16.4
19075,3,24.8
19077,2,18.5
19079,6,27.2
19081,7,19.9
19083,6,30.8
19085,2,21.4
19087,6,46.4
19089,6,20.2
19091,7,22.6
19093,8,16.4
19095,6,27.9
19097,6,31.2
19099,6,50.4
19101,7,38.7
19103,3,213.1
19105,2,35.9
19107,8,18.1
19109,7,16
19111,5,69.3
19113,2,294.6
19115,8,28.3
19117,6,20.7
19119,8,19.7
19121,2,27.9
19123,7,39.2
19125,6,60.1
19127,4,71
19129,2,34.4
19131,7,23
19133,6,13.3
19135,7,18.4
19137,6,25.3
19139,4,97.7
19141,7,25.1
19143,7,16.2
19145,6,29.8
19147,7,16.7
19149,3,29
19151,9,12.7
19153,2,750.5
19155,2,98
19157,7,32.3
19159,9,9.6
19161,9,18
19163,2,360.7
19165,6,20.6
19167,7,43.9
19169,3,156.3
19171,6,24.6
19173,9,11.9
19175,6,29.6
19177,9,15.6
19179,5,82.5
19181,2,81.1
19183,3,38.2
19185,9,12.2
19187,5,53.1
19189,7,27.1
19191,7,30.5
19193,3,117.1
19195,9,19
19197,7,22.8
20000,NA,34.9
20001,7,26.7
20003,6,14
20005,6,39.3
20007,9,4.3
20009,7,30.9
20011,6,23.9
20013,6,17.5
20015,2,46.1
20017,9,3.6
20019,8,5.7
20021,6,36.8
20023,9,2.7
20025,9,2.3
20027,6,13.2
20029,7,13.3
20031,6,13.7
20033,9,2.4
20035,4,32.3
20037,4,66.4
20039,9,3.3
20041,7,23.3
20043,3,20.2
20045,3,243.1
20047,9,4.9
20049,8,4.5
20051,5,31.6
20053,7,9.1
20055,5,28.2
20057,5,30.8
20059,6,45.5
20061,4,89.3
20063,9,2.5
20065,9,2.9
20067,7,13.6
20069,9,6.9
20071,9,1.6
20073,6,5.9
20075,9,2.7
20077,8,7.5
20079,2,64.3
20081,9,7.4
20083,9,2.2
20085,3,20.5
20087,3,35.9
20089,9,3.4
20091,1,1149.6
20093,9,4.6
20095,2,9.1
20097,9,3.5
20099,7,33.5
20101,9,2.4
20103,1,164.7
20105,9,4.5
20107,1,16.3
20109,9,2.6
20111,4,39.8
20113,7,32.5
20115,6,13.4
20117,6,11.2
20119,9,4.7
20121,1,57
20123,7,9.1
20125,5,55.1
20127,8,8.5
20129,9,4.4
20131,6,14.2
20133,7,28.9
20135,9,2.9
20137,7,6.5
20139,3,23.1
20141,9,4.3
20143,9,8.5
20145,7,9.2
20147,7,6.4
20149,3,25.7
20151,7,13.1
20153,9,2.4
20155,4,51.4
20157,9,6.9
20159,7,13.9
20161,3,116.6
20163,9,5.8
20165,9,4.6
20167,7,7.9
20169,5,77.2
20171,7,6.9
20173,2,499.6
20175,5,35.9
20177,3,327.1
20179,9,2.9
20181,7,5.7
20183,9,4.3
20185,9,5.6
20187,9,3.3
20189,7,7.9
20191,2,20.4
20193,7,7.4
20195,9,3.4
20197,3,8.9
20199,9,1.6
20201,9,6.5
20203,9,3.1
20205,7,16.5
20207,9,6.6
20209,1,1039
21000,NA,109.9
21001,7,46
21003,3,58
21005,6,106.1
21007,9,33.4
21009,6,86.5
21011,8,41.6
21013,7,79.9
21015,1,482.3
21017,2,69
21019,2,309.9
21021,7,157.8
21023,1,41.3
21025,7,28.2
21027,8,35.4
21029,1,250.2
21031,3,29.8
21033,7,37.7
21035,7,96.6
21037,1,597
21039,9,26.9
21041,6,84.1
21043,6,67.7
21045,9,35.9
21047,2,103.1
21049,2,141.1
21051,7,46.3
21053,9,52.1
21055,7,25.9
21057,9,22.5
21059,3,210.9
21061,3,40.2
21063,9,33.5
21065,6,58
21067,2,1042.8
21069,7,41.2
21071,7,100.3
21073,4,237.2
21075,9,33.2
21077,1,84.8
21079,6,73.5
21081,1,95.6
21083,7,67.3
21085,6,51.8
21087,8,39.4
21089,2,107.2
21091,3,45.6
21093,3,169.3
21095,7,62.9
21097,6,61.5
21099,8,44.2
21101,2,105.9
21103,1,53.9
21105,9,20.2
21107,5,86.6
21109,9,39.1
21111,1,1948.1
21113,2,282.3
21115,7,89.2
21117,1,996.7
21119,9,46.5
21121,7,82.5
21123,3,54.3
21125,5,135.6
21127,6,38.2
21129,9,37.8
21131,9,28.2
21133,9,72.6
21135,8,28.7
21137,7,74.1
21139,9,30.4
21141,6,48.6
21143,9,38.9
21145,5,263.6
21147,9,42.9
21149,3,37.8
21151,4,189.6
21153,9,43.2
21155,7,57.8
21157,7,104.4
21159,9,56.3
21161,6,72.8
21163,3,93.6
21165,9,31
21167,6,85.7
21169,9,34.9
21171,8,33.3
21173,6,134.3
21175,9,36.5
21177,6,67.4
21179,6,104
21181,8,36.6
21183,6,40.6
21185,1,322.2
21187,8,30.9
21189,9,24.1
21191,1,53.7
21193,7,84.5
21195,7,82.6
21197,6,70.5
21199,5,95.8
21201,8,22.8
21203,7,53.9
21205,7,83.4
21207,9,69.2
21209,2,167.4
21211,1,110.8
21213,6,74
21215,1,91.4
21217,7,92
21219,8,33.3
