FIPS;Combined_Key;2/3/2020;2/4/2020;2/5/2020;2/6/2020;2/7/2020;2/8/2020;2/9/2020;2/10/2020;2/11/2020;2/12/2020;2/13/2020;2/14/2020;2/15/2020;2/16/2020;2/17/2020;2/18/2020;2/19/2020;2/20/2020;2/21/2020;2/22/2020;2/23/2020;2/24/2020;2/25/2020;2/26/2020;2/27/2020;2/28/2020;2/29/2020;3/1/2020;3/2/2020;3/3/2020;3/4/2020;3/5/2020;3/6/2020;3/7/2020;3/8/2020;3/9/2020;3/10/2020;3/11/2020;3/12/2020;3/13/2020;3/14/2020;3/15/2020;3/16/2020;3/17/2020;3/18/2020;3/19/2020;3/20/2020;3/21/2020;3/22/2020;3/23/2020;3/24/2020;3/25/2020;3/26/2020;3/27/2020;3/28/2020;3/29/2020;3/30/2020;3/31/2020;4/1/2020;4/2/2020;4/3/2020;4/4/2020;4/5/2020;4/6/2020;4/7/2020
13000.0;GA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;2506824757673650;23608054732587400;2265410487853300;2265410487853300;20989981119927600;20989981119927600;20989981119927600;20989981119927600;18617138236670800;18617138236670800;18617138236670800;18617138236670800;18617138236670800;18617138236670800;18617138236670800;18617138236670800;18617138236670800;18617138236670800;18617138236670800;18617138236670800;18617138236670800;18617138236670800;18617138236670800
15000.0;HI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16000.0;ID;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17000.0;IL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;2871235896438710;27560759527565900;24039932642034200;24039932642034200;24039932642034200;2125716383480150;2125716383480150;2125716383480150;2125716383480150;2125716383480150;2125716383480150;2125716383480150;2125716383480150;2125716383480150;2125716383480150;2125716383480150;2125716383480150;2125716383480150;2125716383480150;2125716383480150;2125716383480150;2125716383480150;2125716383480150
18000.0;IN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;24482294026336100;23879958524510800;23879958524510800;23879958524510800;23879958524510800;220998446561024;220998446561024;21223210207864400;21223210207864400;21223210207864400;21223210207864400;21223210207864400;18162922634544000;18162922634544000;18162922634544000;18162922634544000;18162922634544000;18162922634544000;18162922634544000;18162922634544000;18162922634544000;18162922634544000;18162922634544000;18162922634544000;18162922634544000;18162922634544000;18162922634544000
19000.0;IA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20000.0;KS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2175390746161420;2175390746161420;2175390746161420;2175390746161420;2175390746161420;2175390746161420;2175390746161420;2175390746161420;2175390746161420;2175390746161420;2175390746161420;2175390746161420;2175390746161420;2175390746161420;2175390746161420;2175390746161420;20904737950106200;20904737950106200;20904737950106200;20904737950106200;20904737950106200;20904737950106200;19367721868804400;19367721868804400;19367721868804400;19367721868804400;19367721868804400;19367721868804400;16190670590522500;16190670590522500;16190670590522500;16190670590522500;16190670590522500;16190670590522500;16190670590522500;16190670590522500;16190670590522500
21000.0;KY;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22000.0;LA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;273658356861346;262643749991671;22882890951447600;22882890951447600;22882890951447600;22882890951447600;22882890951447600;22882890951447600;2030403938872990;2030403938872990;2030403938872990;2030403938872990;2030403938872990;2030403938872990;2030403938872990;2030403938872990;2030403938872990;2030403938872990;2030403938872990;2030403938872990;2030403938872990;2030403938872990;2030403938872990;2030403938872990
23000.0;ME;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24000.0;MD;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2869516045807850;2869516045807850;2869516045807850;2869516045807850;2869516045807850;2869516045807850;2869516045807850;2869516045807850;2869516045807850;2869516045807850;2869516045807850;2869516045807850;2869516045807850;27966170884961500;27966170884961500;27966170884961500;24057220433276500;24057220433276500;24057220433276500;24057220433276500;24057220433276500;24057220433276500;24057220433276500;24057220433276500;24057220433276500;24057220433276500;24057220433276500;24057220433276500;24057220433276500;24057220433276500;21323109070343800;21323109070343800;21323109070343800;21323109070343800;21323109070343800;21323109070343800;21323109070343800;21323109070343800;21323109070343800
25000.0;MA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;27545981228134300;2303328671727590;2303328671727590;2303328671727590;2303328671727590;2303328671727590;2303328671727590;2303328671727590;20403733522108000;20403733522108000;20403733522108000;20403733522108000;20403733522108000;20403733522108000;20403733522108000;20403733522108000;20403733522108000;20403733522108000;20403733522108000;20403733522108000;20403733522108000;20403733522108000;20403733522108000
26000.0;MI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;30664992131008500;2724684048907460;2724684048907460;2724684048907460;2724684048907460;2724684048907460;2724684048907460;2724684048907460;2724684048907460;2269295616802590;2269295616802590;2269295616802590;2269295616802590;2269295616802590;2269295616802590;2269295616802590;2269295616802590;2269295616802590;2269295616802590;2269295616802590;2269295616802590;2269295616802590;2269295616802590;2269295616802590
27000.0;MN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28000.0;MS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;2402292491392010;23055798025445500;23055798025445500;23055798025445500;23055798025445500;23055798025445500;20111102107946700;20111102107946700;20111102107946700;20111102107946700;20111102107946700;20111102107946700;17852376957754100;17852376957754100;17852376957754100;17852376957754100;17852376957754100;17852376957754100;17852376957754100;17852376957754100
29000.0;MO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;2427876383432900;23321942167697500;23321942167697500;212310425307203;212310425307203;212310425307203;212310425307203;212310425307203;18769546692884300;18769546692884300;18769546692884300;18769546692884300;18769546692884300;18769546692884300;18769546692884300;18769546692884300;18769546692884300;18769546692884300;18769546692884300;18769546692884300;18769546692884300
30000.0;MT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31000.0;NE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32000.0;NV;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33000.0;NH;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23304988001861400;23304988001861400;23304988001861400;23304988001861400;23304988001861400;23304988001861400;23304988001861400;23304988001861400;21626848542643300;21626848542643300;21626848542643300;21626848542643300;21626848542643300;21626848542643300;21626848542643300;21626848542643300;20382316987953900;20382316987953900;20382316987953900;17989723299794900;17989723299794900;17989723299794900;17989723299794900;17989723299794900;17989723299794900;17989723299794900;17989723299794900;17989723299794900;17989723299794900;17989723299794900;17989723299794900
34000.0;NJ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;37537106607601800;32723140677303900;32723140677303900;31388835868402400;31388835868402400;31388835868402400;27730080424319800;27730080424319800;27730080424319800;27730080424319800;27730080424319800;27730080424319800;27730080424319800;27730080424319800;27730080424319800;27730080424319800;27730080424319800;27730080424319800;27730080424319800;27730080424319800;27730080424319800;27730080424319800;27730080424319800;27730080424319800
