SUPERCOUNTY,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,test,fatality_rate
19000_0,0.12267207555879064,0.1335771477266675,0.11288547233120882,0.11270349920997035,0.1124948958758677,0.13631118291405542,0.13108722282386778,0.08206543930974489,0.056203064249826906,1.0,0.011559653531610063
19000_2,0.0915141939758422,0.16572040161051932,0.2966413536516997,0.10609041333265379,0.08569389939350697,0.08733499821619693,0.08709036236685185,0.04777534274501809,0.03213903470771112,1.0,0.007084277221344477
19000_3,0.12979433559685172,0.13410062770581932,0.13602004408991508,0.12098166461562979,0.11241865941868598,0.12776513709484644,0.12172357925117971,0.07182406530265337,0.045371886924418556,0.9999999999999999,0.01005908726297244
19000_4,0.11459738199127331,0.13969985455507072,0.24230464101547006,0.13351183392833532,0.10536162898320772,0.09863810657146635,0.09111463704879016,0.04814227158534973,0.02662964432103663,1.0,0.006851753212349597
20000_0,0.12750920040147207,0.13584880673580907,0.13861938217910114,0.12393358982937436,0.11244005799040928,0.1250034850005576,0.11897094903535184,0.07250892160142745,0.04516560722649715,1.0,0.010006165482811977
20000_3,0.13372311767273165,0.13539738438153717,0.1266159495537797,0.12436603608891297,0.11308260719069334,0.12862883200144476,0.12166839736933194,0.07116197871988202,0.04535569702168646,1.0,0.010034733997396421
21000_0,0.12230197969531692,0.13039519439285657,0.13310421551216406,0.11863052833245703,0.1251170599504907,0.13638866385798004,0.12051702700446125,0.07616174243877341,0.037383588815499975,0.9999999999999999,0.009666857038039125
21000_3,0.12858346615432942,0.13072577602640575,0.14883652131423813,0.12255209103736661,0.11889902889708437,0.1270860098356787,0.11517782501533189,0.07070287375329698,0.03743640796626818,1.0,0.009277224121013086
22000_0,0.13121168608825318,0.13322955210691997,0.13557118793836637,0.1279719169382007,0.11663099906113658,0.13144709228475177,0.11587162423372177,0.07075923675926438,0.03730670458938532,1.0,0.009305898503548352
22000_3,0.13790368571213993,0.1332927285196822,0.13807947484441013,0.13571168601585074,0.1158376104562347,0.1267134282264527,0.1123408097359119,0.0651080030272044,0.03501257346211332,1.0000000000000002,0.008794915652990601
23000_0,0.09624138750296983,0.11154193395105726,0.10538370159182703,0.11225469232596816,0.11696840104537895,0.15070563079116178,0.15867902114516513,0.10046091708244238,0.047764314564029464,1.0,0.012309474698978381
