,FIPS,x,y,cluster
1573,29207,6.58624031747057e-06,4.968402717237501e-06,4
1574,29209,8.421635330569141e-06,4.170639054036126e-06,4
1575,29211,2.6640247947066578e-05,2.415968169787318e-05,4
1576,29213,4.3690451507826505e-06,2.6822071154595666e-06,4
1577,29215,8.223271175033006e-06,8.879358832479381e-06,4
1578,29217,9.511180744176044e-06,8.037517260609846e-06,4
1579,29219,5.9617205534148915e-06,2.9928949346532223e-06,4
1580,29221,7.924092669971735e-06,8.269666691075979e-06,4
1581,29223,1.5413485268715358e-05,1.7527467423128466e-05,4
1582,29225,5.084622046656666e-06,3.5200726628776508e-06,4
1583,29227,9.779892349096502e-05,6.704152249134949e-05,4
1584,29229,9.281989029523903e-06,1.282009968033126e-05,4
1585,30001,2.1936962306961518e-05,1.3976332686290947e-05,4
1586,30003,1.517125326423651e-05,1.8971092911003417e-05,4
1587,30005,3.675387608254787e-05,3.00635052160829e-05,4
1588,30007,3.540638003523084e-05,1.666341455510101e-05,4
1589,30009,2.3381869238621174e-05,1.086333492569322e-05,4
1590,30011,0.00025185235449328087,0.00010896202901652308,4
1591,30013,2.8221102372160775e-06,1.591309514972672e-06,4
1592,30015,3.956973218472036e-05,3.2116321681319733e-05,4
1593,30017,2.5105151848324717e-05,1.0414540737079512e-05,4
1594,30019,0.00015366927161748214,5.602866832961502e-05,4
1595,30021,3.07662086686912e-05,1.23967380916987e-05,4
1596,30025,9.582004128354287e-05,3.119722274347908e-05,4
1597,30027,2.3101444841122262e-05,1.063168491987155e-05,4
1598,30029,2.2666244756388098e-06,1.0827158004744144e-06,4
1599,30031,1.538161697108149e-06,7.766709878240347e-07,4
1600,30033,0.0001735264556319597,0.00012874543482371205,4
1601,30035,1.203301879406726e-05,1.9203089359573478e-05,2
1602,30037,0.0002418376141033834,0.00021985237645762127,4
1603,30039,6.914451150322797e-05,3.934839754746433e-05,4
1604,30041,1.3550408862537704e-05,8.049414378160342e-06,4
1605,30043,1.8887856624549094e-05,6.30050788995451e-06,4
1606,30045,0.00013148557175490458,6.823602526202635e-05,4
1607,30047,7.448671538829315e-06,5.947134758554743e-06,4
1608,30049,3.183471795817098e-06,1.4960728352921484e-06,4
1609,30051,9.940896543548578e-05,7.502243899134616e-05,4
1610,30053,1.2307223123033364e-05,1.0117343936064756e-05,2
1611,30055,0.00015361995990198263,8.376030296279795e-05,4
1612,30057,2.755020745644414e-05,1.041912944882519e-05,4
1613,30059,0.00012062185736982316,8.185054607238e-05,4
1614,30061,6.076920500137e-05,3.226350901574502e-05,4
1615,30063,1.7334332829787936e-06,1.0430646536186119e-06,0
1616,30065,5.302378660010787e-05,3.19437110206404e-05,4
1617,30067,1.3813234839815888e-05,6.226487867831199e-06,4
1618,30069,0.0003761841250299237,0.0003153866906816532,4
1619,30071,5.669536741610592e-05,3.6632075865029114e-05,1
1620,30073,3.8469320324497125e-05,2.882395138016257e-05,4
1621,30075,0.0001674219331561989,6.961763954770948e-05,4
1622,30077,3.3283199827059176e-05,1.956623752209543e-05,4
1623,30079,0.00027675065950443856,0.00012187185005700047,4
1624,30081,5.57510444626335e-06,3.556134372999084e-06,4
1625,30083,2.2562091492950387e-05,7.976921071195708e-06,4
1626,30085,1.853616147133983e-05,2.259171334155798e-05,2
1627,30087,2.6041549676009154e-05,1.854197295771947e-05,4
1628,30089,1.847728679520699e-05,1.3337578547003195e-05,4
1629,30091,8.60644215652022e-05,3.121861079570268e-05,4
1630,30093,6.0669163197696225e-06,4.652473048018245e-06,4
1631,30095,2.5094294479356428e-05,8.427106344229295e-06,4
1632,30097,6.335321597489121e-05,2.6445608503280274e-05,4
1633,30099,3.9162245046410554e-05,2.478256394665254e-05,4
1634,30101,4.78948168679261e-05,2.71743641803836e-05,4
1635,30103,0.0004338008984016606,0.00016701334588463933,4
1636,30105,3.417167295235607e-05,1.8206811991017225e-05,1
1637,30107,7.060429274099865e-05,8.220499806388229e-05,4
1638,30109,0.00019548129552656487,0.00011317338162064282,4
1639,30111,1.3620805010135408e-06,6.687761055965595e-07,3
1640,31001,7.617757593589291e-06,3.5832868215217736e-06,2
1641,31003,4.438920454545455e-05,1.9628896286093255e-05,4
