,mean,se_mean,sd,n_eff,Rhat
"Rt_adj[188,40]",1.0855298060460858,0.13222850017188997,0.18996851913668886,2.064016338419742,6.00787060551994
"Rt_adj[189,40]",1.0851654293817494,0.13207987644897287,0.18968666985654029,2.062530199639274,6.080368681399626
"Rt_adj[190,40]",1.0847901474041428,0.13192675940836646,0.18939817151576227,2.0610369335819714,6.155629872188936
"Rt_adj[191,40]",1.0844037259066874,0.13176911377824033,0.18910333396258416,2.059544220957471,6.233371267984338
"Rt_adj[192,40]",1.0840059397545387,0.13160671686474265,0.18880250428908557,2.0580664397588198,6.313214592887309
"Rt_adj[193,40]",1.083596573935532,0.13143957250304275,0.18849606310669575,2.056611653039428,6.39467443194625
"Rt_adj[194,40]",1.0831754244952663,0.1312677957516022,0.18818441960015525,2.0551850996951035,6.477147918415916
"Rt_adj[1,41]",4.552591692381111,3.2045962561033003,4.564609199511054,2.0288996183764096,9.564293925308482
"Rt_adj[2,41]",4.552591692381111,3.2045962561033003,4.564609199511054,2.0288996183764096,9.564293925308482
"Rt_adj[3,41]",4.552591692381111,3.2045962561033003,4.564609199511054,2.0288996183764096,9.564293925308482
"Rt_adj[4,41]",4.552591692381111,3.2045962561033003,4.564609199511054,2.0288996183764096,9.564293925308482
"Rt_adj[5,41]",4.552591692381111,3.2045962561033003,4.564609199511054,2.0288996183764096,9.564293925308482
"Rt_adj[6,41]",2.219393659496923,2.057909342861671,2.920664110239796,2.0142378389735582,15.176660733945667
"Rt_adj[7,41]",2.218241689418118,2.0583238556145216,2.9212460547880585,2.014229085083305,15.183232793130198
"Rt_adj[8,41]",1.682410365102021,1.410595405951189,2.004577276672788,2.0194852050360534,12.387518461842461
"Rt_adj[9,41]",1.6823349361379332,1.410603757135936,2.004586750372338,2.0194803813555424,12.38953706451377
"Rt_adj[10,41]",1.6822504762569295,1.4106072869931923,2.0045891113125993,2.0194750313477177,12.391779939317596
"Rt_adj[11,41]",0.877237182881493,0.44373165860779584,0.6407720279932364,2.0852890354741014,5.239145034595276
"Rt_adj[12,41]",0.8771708476926701,0.44374761762118936,0.6407904165919108,2.0852587253606054,5.2400947777245
"Rt_adj[13,41]",0.8771059904389961,0.4437605335733136,0.6408044291862466,2.0852285365743706,5.241038966824489
"Rt_adj[14,41]",0.8770432322962987,0.44377055205263927,0.6408142920507006,2.0851985728790483,5.241974892848355
"Rt_adj[15,41]",0.876982774435102,0.4437778688340123,0.640820295353974,2.0851688822653784,5.242901646070185
"Rt_adj[16,41]",0.8769245076855736,0.44378258311230906,0.6408225905584805,2.085139517696895,5.243818075230548
"Rt_adj[17,41]",0.8768681574610749,0.44378471099217176,0.6408212107782677,2.085110542798915,5.24472260194188
"Rt_adj[18,41]",0.8768133775967791,0.4437842144780385,0.640816111970289,2.0850820274751025,5.245613378219881
"Rt_adj[19,41]",0.876759797737902,0.44378101884778864,0.6408071974865703,2.0850540444132184,5.246488416597524
"Rt_adj[20,41]",0.8767070424065102,0.443775019315721,0.6407943275065212,2.0850266678500633,5.247345643943918
"Rt_adj[21,41]",0.8766547358213146,0.4437660819310403,0.6407773203768028,2.0849999738446274,5.248182902849358
"Rt_adj[22,41]",0.8766025005510254,0.4437540420929579,0.6407559506239622,2.0849740412962507,5.2489979261487445
"Rt_adj[23,41]",0.8765499538887934,0.44373870224280443,0.6407299458275755,2.0849489532817587,5.249788299368337
"Rt_adj[24,41]",0.8764967035404879,0.44371982923853626,0.6406989830560865,2.0849247985325015,5.250551417658168
"Rt_adj[25,41]",0.8764423431504279,0.4436971514718353,0.6406626849436029,2.0849016729954584,5.251284439500881
"Rt_adj[26,41]",0.8763864477592872,0.4436703556544103,0.6406206153007541,2.0848796814730637,5.2519842376546215
"Rt_adj[27,41]",0.876328569146002,0.44363908318641576,0.6405722741356894,2.084858939354438,5.252647347101749
"Rt_adj[28,41]",0.8762682309725034,0.44360292603497464,0.6405170919839281,2.0848395744565473,5.253269909512858
"Rt_adj[29,41]",0.3673023523858396,0.06560071384133292,0.1323040893502439,4.067517267762179,1.6622904198262012
"Rt_adj[30,41]",0.36729350278736606,0.06560016157963432,0.1322999039962262,4.067328406872953,1.6623287274163585
"Rt_adj[31,41]",0.3672849644844961,0.06559944091910608,0.1322958049092171,4.067165732743928,1.6623622434458862
"Rt_adj[32,41]",0.3672768819935793,0.0655986182307562,0.13229185613618905,4.067024951554123,1.6623916475398681
"Rt_adj[33,41]",0.36726936618538963,0.06559775288534822,0.1322881108707111,4.066901971276061,1.6624176103645214
"Rt_adj[34,41]",0.36726246586663763,0.06559688473404697,0.13228459770204262,4.066793608104458,1.6624406721701546
"Rt_adj[35,41]",0.3672561824167508,0.06559603746909717,0.13228132581089344,4.066697488848854,1.662461251933823
"Rt_adj[36,41]",0.3672504885837914,0.06559522403519502,0.13227829222022494,4.066611825568504,1.6624796787340712
"Rt_adj[37,41]",0.36724534279342774,0.06559445091522373,0.13227548734459335,4.066535225271039,1.6624962189837347
"Rt_adj[38,41]",0.36724069823093886,0.06559372091810957,0.13227289850263177,4.066466560157875,1.662511095128629
"Rt_adj[39,41]",0.36723650796383994,0.06559303481711447,0.132270511908901,4.066404886938273,1.6625244973617872
"Rt_adj[40,41]",0.3672327275195244,0.06559239225422196,0.13226831371293055,4.066349398571071,1.6625365907643466
"Rt_adj[41,41]",0.36722931596994224,0.06559179222256835,0.13226629049514682,4.066299394937609,1.6625475198282105
"Rt_adj[42,41]",0.36722623621560396,0.06559123332353191,0.13226442947924003,4.066254264022809,1.6625574115484916
"Rt_adj[43,41]",0.36722345487731106,0.06559071391001711,0.1322627186067367,4.066213468735846,1.662566377753205
"Rt_adj[44,41]",0.3672209420239069,0.06559023208970767,0.13226114655083623,4.066176547359251,1.662574516995092
"Rt_adj[45,41]",0.3672186708469236,0.0655897854187263,0.1322597027041258,4.066143150777623,1.6625819161782025
"Rt_adj[46,41]",0.36721661733044825,0.06558937258498414,0.13225837715382316,4.066112832243769,1.6625886520009776
"Rt_adj[47,41]",0.3672147599493506,0.06558899160728986,0.13225716065498633,4.066085269020971,1.6625947922178101
"Rt_adj[48,41]",0.3672130793969525,0.06558864051556132,0.13225604460160642,4.066060176269691,1.662600396755174
"Rt_adj[49,41]",0.36721155834286057,0.06558831737445,0.1322550209964962,4.066037302268671,1.6626055186936515
"Rt_adj[50,41]",0.36721018121903415,0.06558802030166389,0.1322540824204581,4.066016424248873,1.662610205124637
"Rt_adj[51,41]",0.36720893403207766,0.06558774748187213,0.1322532220015045,4.065997344778211,1.6626144978945094
"Rt_adj[52,41]",0.36720780419522225,0.065587497176649,0.13225243338307557,4.065979888575634,1.6626184342574306
"Rt_adj[53,41]",0.3672067803809849,0.06558726773118077,0.13225171069307742,4.065963899776763,1.6626220474373292
"Rt_adj[54,41]",0.36720585238969605,0.06558705757828492,0.13225104851311856,4.065949239544872,1.6626253671179765
"Rt_adj[55,41]",0.36720501103266906,0.06558686524029832,0.13225044184855977,4.065935783995934,1.6626284198685497
"Rt_adj[56,41]",0.36720424802820995,0.06558668932923871,0.13224988609958252,4.065923422400296,1.662631229512893
"Rt_adj[57,41]",0.36720355590875253,0.06558652854567382,0.1322493770333826,4.065912055613681,1.6626338174514916
"Rt_adj[58,41]",0.36720292793809095,0.06558638167659078,0.13224891075771625,4.065901594715194,1.6626362029413984
"Rt_adj[59,41]",0.3672023580372792,0.06558624759253212,0.1322484836957639,4.065891959817234,1.6626384033408799
"Rt_adj[60,41]",0.367201840718415,0.06558612524421532,0.13224809256243497,4.0658830790279685,1.662640434322948
"Rt_adj[61,41]",0.3672013710254642,0.06558601365883744,0.13224773434214,4.06587488754302,1.6626423100625036
"Rt_adj[62,41]",0.3672009444808834,0.06558591193602366,0.1322474062678003,4.065867326857373,1.662644043399153
"Rt_adj[63,41]",0.3672005570383341,0.06558581924388672,0.1322471058015015,4.065860344064554,1.662645645981868
"Rt_adj[64,41]",0.36720020503988793,0.06558573481491002,0.1322468306162966,4.0658538912483255,1.6626471283949684
"Rt_adj[65,41]",0.3671998851774422,0.06558565794179697,0.13224657857921043,4.065847924952419,1.6626485002683906
"Rt_adj[66,41]",0.36719959445852823,0.06558558797358802,0.13224634773568092,4.065842405705407,1.6626497703763117
"Rt_adj[67,41]",0.36719933017577167,0.06558552431197306,0.13224613629523513,4.065837297597238,1.6626509467250445
"Rt_adj[68,41]",0.3671990898785604,0.06558546640739957,0.13224594261784306,4.065832567922767,1.6626520366279978
"Rt_adj[69,41]",0.3671988713482617,0.06558541375562672,0.13224576520163256,4.065828186853681,1.6626530467742324
"Rt_adj[70,41]",0.3671986725757365,0.06558536589438275,0.13224560267147353,4.065824127151045,1.6626539832888083
"Rt_adj[71,41]",0.3671984917410485,0.06558532240018207,0.13224545376843555,4.065820363911745,1.6626548517863131
"Rt_adj[72,41]",0.3671983271952233,0.06558528288534546,0.13224531734009834,4.0658168743421905,1.6626556574186508
"Rt_adj[73,41]",0.36719817744392025,0.06558524699524325,0.1322451923316866,4.065813637555034,1.6626564049180772
"Rt_adj[74,41]",0.3671980411325165,0.06558521440564023,0.13224507777783195,4.065810634391855,1.6626570986350642
"Rt_adj[75,41]",0.3671979170328094,0.06558518482027972,0.13224497279507377,4.065807847261608,1.662657742572695
"Rt_adj[76,41]",0.3671978040309578,0.06558515796860816,0.13224487657494616,4.065805259997678,1.662658340417351
