,index,Cluster,County,R_0 (std),R_8/2 (std),# (\%) infected as predicted,Measured cases,Population,Fatality rate (measured death/cases)
873,282,1,"Marinette County, WI",1.463 (0.432),0.998 (0.030),327 (0.8),315,"40,434",0.95\%
874,451,1,"Avoyelles Parish, LA",3.373 (0.067),1.018 (0.130),"3,713 (9.2)",939,"40,462",2.88\%
875,0,1,"Tallapoosa County, AL",1.093 (0.051),0.752 (0.186),"8,277 (20.4)",804,"40,497",9.70\%
876,950,1,"Fayette County, TN",3.637 (0.079),1.226 (0.025),"1,456 (3.6)",617,"40,507",1.30\%
877,389,1,"Tift County, GA",3.128 (0.064),1.014 (0.014),"5,006 (12.3)","1,246","40,571",2.81\%
878,104,1,"Gratiot County, MI",2.875 (0.075),0.935 (0.074),"1,652 (4.1)",144,"40,599",10.42\%
879,32,1,"Orleans County, NY",0.883 (0.045),0.891 (0.061),"6,025 (14.8)",295,"40,612",18.31\%
880,435,1,"Ottawa County, OH",3.557 (0.092),1.017 (0.031),"3,048 (7.5)",352,"40,769",7.10\%
881,1156,1,"Levy County, FL",3.647 (0.407),1.276 (0.029),478 (1.2),595,"40,770",0.50\%
882,1061,1,"Jim Wells County, TX",3.777 (0.083),1.235 (0.028),"1,228 (3.0)",591,"40,822",1.02\%
883,985,1,"Warren County, TN",3.637 (0.079),1.226 (0.025),728 (1.8),400,"40,878",1.00\%
884,431,1,"Mercer County, OH",3.557 (0.092),1.017 (0.031),"1,585 (3.9)",522,"40,959",2.49\%
885,806,1,"Mayes County, OK",2.922 (0.079),1.090 (0.027),792 (1.9),285,"41,107",2.11\%
886,820,1,"Sequoyah County, OK",2.922 (0.079),1.090 (0.027),528 (1.3),258,"41,179",1.55\%
887,122,1,"Sanilac County, MI",2.875 (0.075),0.935 (0.074),661 (1.6),95,"41,182",6.32\%
888,518,1,"Mississippi County, AR",3.130 (0.340),1.030 (0.207),"1,546 (3.7)",775,"41,239",1.29\%
889,1120,1,"Upshur County, TX",3.777 (0.083),1.235 (0.028),409 (1.0),191,"41,260",1.05\%
890,414,1,"Crawford County, OH",3.557 (0.092),1.017 (0.031),609 (1.5),164,"41,550",3.05\%
891,1151,1,"Hendry County, FL",3.647 (0.407),1.276 (0.029),"5,903 (14.2)","1,652","41,556",2.24\%
892,1128,1,"Wharton County, TX",3.777 (0.083),1.235 (0.028),"4,299 (10.3)",624,"41,619",3.37\%
893,951,1,"Franklin County, TN",3.637 (0.079),1.226 (0.025),728 (1.7),285,"41,890",1.40\%
894,412,1,"Clinton County, OH",3.557 (0.092),1.017 (0.031),731 (1.7),146,"42,057",4.11\%
895,16,1,"Montrose County, CO",2.912 (0.092),0.810 (0.238),"1,368 (3.2)",279,"42,214",4.66\%
896,416,1,"Fulton County, OH",3.557 (0.092),1.017 (0.031),121 (0.3),139,"42,276",0.72\%
897,1028,1,"Erath County, TX",3.777 (0.083),1.235 (0.028),"1,023 (2.4)",462,"42,446",1.08\%
898,1008,1,"Chambers County, TX",3.777 (0.083),1.235 (0.028),409 (1.0),887,"42,454",0.23\%
899,374,1,"Polk County, GA",3.128 (0.064),1.014 (0.014),"1,287 (3.0)",675,"42,470",1.33\%
900,166,1,"Dubois County, IN",3.361 (0.085),0.954 (0.022),"1,400 (3.3)",624,"42,565",1.92\%
901,791,1,"Delaware County, OK",2.922 (0.079),1.090 (0.027),"2,509 (5.9)",401,"42,733",4.74\%
902,551,1,"Davie County, NC",3.679 (0.104),1.032 (0.056),483 (1.1),371,"42,733",1.08\%
903,867,1,"Kandiyohi County, MN",1.012 (0.032),1.172 (0.034),143 (0.3),670,"42,855",0.15\%
904,423,1,"Highland County, OH",3.557 (0.092),1.017 (0.031),121 (0.3),127,"43,058",0.79\%
905,313,1,"Coffee County, GA",3.128 (0.064),1.014 (0.014),"3,576 (8.3)","1,341","43,093",1.86\%
906,1,1,"St. John the Baptist Parish, LA",3.281 (0.155),0.761 (0.159),"11,921 (27.6)","1,348","43,184",6.53\%
907,821,1,"Stephens County, OK",2.922 (0.079),1.090 (0.027),264 (0.6),174,"43,265",1.15\%
908,564,1,"Jackson County, NC",3.679 (0.104),1.032 (0.056),362 (0.8),394,"43,327",0.76\%
909,630,1,"Shenandoah County, VA",0.929 (0.040),1.044 (0.028),"5,148 (11.8)",680,"43,497",6.18\%
910,284,1,"Polk County, WI",1.463 (0.432),0.998 (0.030),218 (0.5),120,"43,598",1.67\%
911,92,1,"Branch County, MI",2.875 (0.075),0.935 (0.074),220 (0.5),327,"43,622",0.61\%
912,965,1,"Lawrence County, TN",3.637 (0.079),1.226 (0.025),"1,092 (2.5)",474,"43,734",1.27\%
913,815,1,"Pittsburg County, OK",2.922 (0.079),1.090 (0.027),396 (0.9),193,"43,877",1.55\%
914,425,1,"Holmes County, OH",3.557 (0.092),1.017 (0.031),731 (1.7),320,"43,892",1.88\%
915,177,1,"Jackson County, IN",3.361 (0.085),0.954 (0.022),466 (1.1),551,"44,111",0.73\%
916,222,1,"Chilton County, AL",3.438 (0.069),0.979 (0.238),965 (2.2),697,"44,153",0.86\%
917,797,1,"Kay County, OK",2.922 (0.079),1.090 (0.027),"1,320 (3.0)",214,"44,161",4.67\%
918,730,1,"Barren County, KY",3.302 (0.115),1.076 (0.034),279 (0.6),328,"44,176",0.61\%
